Measures,Section,Mean,STD,Min,Median,Max,Range
MTR,1,21.63,0.724,19.538,21.665,22.074,23.926
MTR,2,22.28,0.622,20.876,22.302,22.707,24.226
MTR,3,22.466,0.596,20.908,22.528,22.859,24.094
MTR,4,22.806,0.559,21.638,22.755,23.106,24.994
MTR,5,23.139,0.602,21.891,23.078,23.569,25.248
MTR,6,23.281,0.714,21.654,23.198,23.827,25.313
MTR,7,23.1,0.746,21.566,23.141,23.557,25.435
MTR,8,23.495,0.807,21.656,23.478,24.005,25.838
MTR,9,23.822,0.76,22.108,23.767,24.352,26.076
MTR,10,23.733,0.68,22.297,23.727,24.108,26.109
MTR,11,23.645,0.655,22.465,23.654,23.944,25.747
MTR,12,23.508,0.613,22.402,23.535,23.834,25.329
MTR,13,23.353,0.659,21.623,23.305,23.695,25.292
MTR,14,23.019,0.748,21.167,22.945,23.377,25.332
MTR,15,22.63,0.753,20.829,22.558,23.06,25.147
MTR,16,22.482,0.661,20.992,22.44,22.892,24.604
MTR,17,22.408,0.65,21.197,22.352,22.773,24.264
MTR,18,22.264,0.617,21.016,22.212,22.505,23.889
MTR,19,21.937,0.557,20.719,21.872,22.322,23.587
MTR,20,20.588,0.565,18.816,20.585,20.924,22.098
MTsat,1,3.407,0.176,2.525,3.414,3.521,3.842
MTsat,2,3.515,0.162,2.786,3.518,3.62,3.899
MTsat,3,3.525,0.16,2.703,3.523,3.624,3.854
MTsat,4,3.547,0.15,3.005,3.551,3.64,3.905
MTsat,5,3.492,0.141,3.088,3.484,3.59,3.945
MTsat,6,3.405,0.144,3.117,3.413,3.473,3.833
MTsat,7,3.377,0.182,2.983,3.344,3.507,3.826
MTsat,8,3.556,0.237,3.163,3.496,3.716,4.199
MTsat,9,3.731,0.232,3.269,3.675,3.895,4.252
MTsat,10,3.798,0.211,3.407,3.782,3.94,4.339
MTsat,11,3.826,0.199,3.276,3.798,3.947,4.394
MTsat,12,3.851,0.198,3.474,3.839,3.998,4.361
MTsat,13,3.852,0.201,3.356,3.849,3.966,4.419
MTsat,14,3.782,0.209,3.278,3.786,3.903,4.373
MTsat,15,3.722,0.195,3.362,3.722,3.819,4.267
MTsat,16,3.716,0.172,3.1,3.713,3.815,4.173
MTsat,17,3.716,0.166,3.263,3.705,3.83,4.144
MTsat,18,3.715,0.158,3.364,3.71,3.824,4.111
MTsat,19,3.726,0.158,3.161,3.706,3.82,4.11
MTsat,20,3.545,0.164,2.798,3.547,3.64,3.94
ihMTR,1,6.693,0.761,4.493,6.817,7.226,8.554
ihMTR,2,7.214,0.716,5.225,7.373,7.653,9.254
ihMTR,3,7.564,0.682,6.113,7.64,8.039,9.566
ihMTR,4,8.136,0.643,6.765,8.14,8.533,10.336
ihMTR,5,9.012,0.723,7.056,9.09,9.56,11.326
ihMTR,6,9.708,0.732,7.507,9.767,10.223,11.351
ihMTR,7,9.473,0.818,7.21,9.456,9.943,12.127
ihMTR,8,9.17,0.793,6.465,9.109,9.605,11.806
ihMTR,9,9.197,0.836,6.223,9.178,9.575,11.953
ihMTR,10,9.231,0.799,6.798,9.123,9.634,11.776
ihMTR,11,9.083,0.808,6.582,9.015,9.471,11.742
ihMTR,12,9.034,0.811,6.332,8.935,9.473,11.623
ihMTR,13,8.779,0.761,6.08,8.726,9.185,10.556
ihMTR,14,8.406,0.791,5.623,8.369,8.837,10.149
ihMTR,15,8.079,0.802,5.624,8.028,8.608,9.832
ihMTR,16,7.778,0.828,4.976,7.814,8.193,9.588
ihMTR,17,7.598,0.82,5.297,7.567,8.083,9.646
ihMTR,18,7.376,0.799,4.794,7.388,7.88,9.382
ihMTR,19,7.173,0.682,4.857,7.168,7.484,9.137
ihMTR,20,6.216,0.518,4.595,6.183,6.551,7.685
ihMTsat,1,0.089,0.01,0.059,0.09,0.095,0.111
ihMTsat,2,0.096,0.01,0.071,0.097,0.102,0.136
ihMTsat,3,0.101,0.009,0.067,0.101,0.106,0.136
ihMTsat,4,0.107,0.009,0.087,0.107,0.113,0.149
ihMTsat,5,0.116,0.011,0.085,0.116,0.122,0.162
ihMTsat,6,0.121,0.012,0.088,0.121,0.126,0.158
ihMTsat,7,0.116,0.012,0.09,0.117,0.122,0.149
ihMTsat,8,0.118,0.011,0.084,0.117,0.125,0.153
ihMTsat,9,0.124,0.012,0.084,0.124,0.131,0.161
ihMTsat,10,0.128,0.012,0.094,0.128,0.136,0.162
ihMTsat,11,0.128,0.012,0.093,0.126,0.135,0.161
ihMTsat,12,0.129,0.013,0.09,0.128,0.136,0.163
ihMTsat,13,0.126,0.013,0.088,0.124,0.134,0.167
ihMTsat,14,0.12,0.014,0.08,0.119,0.127,0.158
ihMTsat,15,0.115,0.014,0.082,0.113,0.122,0.153
ihMTsat,16,0.111,0.014,0.072,0.109,0.118,0.143
ihMTsat,17,0.108,0.013,0.077,0.107,0.116,0.134
ihMTsat,18,0.105,0.013,0.072,0.104,0.114,0.137
ihMTsat,19,0.104,0.012,0.071,0.103,0.109,0.135
ihMTsat,20,0.09,0.009,0.056,0.089,0.095,0.112
