Measures,Section,Mean,STD,Min,Median,Max,Range
AD,1,10.715,0.259,10.033,10.726,10.894,11.393
AD,2,10.933,0.353,10.166,10.933,11.163,11.835
AD,3,11.013,0.389,9.894,11.039,11.304,11.699
AD,4,11.395,0.392,10.64,11.356,11.619,12.336
AD,5,11.937,0.459,11.07,11.87,12.297,13.143
AD,6,11.747,0.47,10.708,11.764,12.09,12.68
AD,7,10.956,0.409,10.013,10.954,11.192,12.036
AD,8,11.245,0.693,9.764,11.153,11.595,12.893
AD,9,10.865,0.54,9.717,10.97,11.317,11.929
AD,10,10.457,0.465,9.21,10.494,10.823,11.445
AD,11,10.636,0.521,9.396,10.697,10.934,11.828
AD,12,10.034,0.581,8.356,10.125,10.346,11.441
AD,13,9.368,0.367,8.621,9.381,9.628,10.162
AD,14,9.604,0.323,8.845,9.567,9.841,10.487
AD,15,9.857,0.348,9.095,9.907,10.103,10.546
AD,16,9.991,0.354,9.31,9.95,10.241,10.721
AD,17,10.049,0.312,9.274,10.063,10.289,10.66
AD,18,10.087,0.285,9.406,10.109,10.273,10.678
AD,19,10.2,0.262,9.621,10.19,10.392,10.834
AD,20,10.269,0.231,9.816,10.277,10.397,10.971
AD-FWcorrected,1,0.104,0.002,0.099,0.104,0.106,0.11
AD-FWcorrected,2,0.108,0.003,0.1,0.107,0.11,0.116
AD-FWcorrected,3,0.109,0.004,0.098,0.109,0.111,0.116
AD-FWcorrected,4,0.113,0.004,0.106,0.112,0.114,0.123
AD-FWcorrected,5,0.118,0.004,0.11,0.118,0.121,0.129
AD-FWcorrected,6,0.116,0.005,0.106,0.117,0.119,0.125
AD-FWcorrected,7,0.108,0.004,0.1,0.109,0.111,0.119
AD-FWcorrected,8,0.112,0.007,0.098,0.111,0.115,0.128
AD-FWcorrected,9,0.108,0.005,0.097,0.11,0.113,0.117
AD-FWcorrected,10,0.104,0.005,0.092,0.104,0.108,0.114
AD-FWcorrected,11,0.106,0.005,0.094,0.107,0.109,0.118
AD-FWcorrected,12,0.1,0.006,0.084,0.101,0.103,0.114
AD-FWcorrected,13,0.094,0.004,0.086,0.094,0.096,0.102
AD-FWcorrected,14,0.096,0.003,0.088,0.095,0.098,0.104
AD-FWcorrected,15,0.098,0.003,0.091,0.099,0.1,0.104
AD-FWcorrected,16,0.099,0.003,0.093,0.099,0.102,0.107
AD-FWcorrected,17,0.1,0.003,0.093,0.1,0.102,0.106
AD-FWcorrected,18,0.1,0.003,0.094,0.1,0.102,0.105
AD-FWcorrected,19,0.101,0.002,0.096,0.101,0.103,0.106
AD-FWcorrected,20,0.1,0.002,0.097,0.1,0.101,0.106
AFD_total,1,0.232,0.019,0.182,0.23,0.247,0.275
AFD_total,2,0.255,0.022,0.208,0.254,0.269,0.296
AFD_total,3,0.267,0.021,0.221,0.266,0.283,0.315
AFD_total,4,0.284,0.019,0.229,0.284,0.297,0.327
AFD_total,5,0.307,0.019,0.238,0.309,0.32,0.346
AFD_total,6,0.321,0.02,0.25,0.32,0.332,0.367
AFD_total,7,0.33,0.02,0.256,0.329,0.343,0.372
AFD_total,8,0.328,0.02,0.244,0.328,0.34,0.36
AFD_total,9,0.334,0.021,0.242,0.337,0.348,0.37
AFD_total,10,0.349,0.021,0.251,0.352,0.361,0.381
AFD_total,11,0.355,0.021,0.259,0.358,0.37,0.389
AFD_total,12,0.352,0.02,0.264,0.355,0.367,0.386
AFD_total,13,0.341,0.019,0.26,0.343,0.352,0.381
AFD_total,14,0.328,0.017,0.256,0.331,0.338,0.364
AFD_total,15,0.317,0.017,0.251,0.319,0.326,0.357
AFD_total,16,0.307,0.017,0.246,0.309,0.319,0.348
AFD_total,17,0.3,0.017,0.238,0.302,0.31,0.342
AFD_total,18,0.292,0.016,0.229,0.293,0.301,0.33
AFD_total,19,0.281,0.017,0.213,0.283,0.293,0.317
AFD_total,20,0.248,0.025,0.161,0.253,0.266,0.291
ECVF,1,0.481,0.027,0.426,0.478,0.499,0.543
ECVF,2,0.464,0.025,0.397,0.459,0.479,0.515
ECVF,3,0.449,0.022,0.395,0.446,0.463,0.493
ECVF,4,0.429,0.024,0.378,0.429,0.446,0.48
ECVF,5,0.406,0.03,0.351,0.407,0.43,0.469
ECVF,6,0.4,0.033,0.324,0.405,0.427,0.466
ECVF,7,0.383,0.042,0.286,0.39,0.416,0.461
ECVF,8,0.365,0.04,0.258,0.365,0.392,0.443
ECVF,9,0.346,0.034,0.267,0.35,0.374,0.414
ECVF,10,0.325,0.028,0.27,0.328,0.347,0.393
ECVF,11,0.309,0.03,0.25,0.312,0.332,0.378
ECVF,12,0.299,0.031,0.221,0.299,0.32,0.366
ECVF,13,0.306,0.034,0.216,0.302,0.333,0.383
ECVF,14,0.328,0.037,0.23,0.328,0.357,0.395
ECVF,15,0.356,0.036,0.261,0.354,0.382,0.434
ECVF,16,0.371,0.034,0.282,0.371,0.396,0.448
ECVF,17,0.385,0.034,0.309,0.385,0.409,0.459
ECVF,18,0.403,0.033,0.344,0.399,0.426,0.475
ECVF,19,0.423,0.036,0.363,0.422,0.441,0.52
ECVF,20,0.478,0.026,0.428,0.478,0.501,0.53
FA,1,0.358,0.02,0.32,0.36,0.374,0.401
FA,2,0.395,0.022,0.329,0.397,0.409,0.442
FA,3,0.414,0.031,0.33,0.415,0.429,0.505
FA,4,0.454,0.031,0.406,0.449,0.464,0.538
FA,5,0.505,0.033,0.431,0.509,0.527,0.568
FA,6,0.484,0.041,0.398,0.481,0.515,0.571
FA,7,0.429,0.037,0.344,0.432,0.457,0.501
FA,8,0.47,0.055,0.357,0.464,0.504,0.577
FA,9,0.454,0.048,0.356,0.458,0.482,0.562
FA,10,0.448,0.033,0.378,0.447,0.467,0.524
FA,11,0.474,0.034,0.391,0.47,0.499,0.56
FA,12,0.43,0.041,0.324,0.431,0.462,0.496
FA,13,0.383,0.03,0.332,0.375,0.397,0.479
FA,14,0.4,0.033,0.318,0.403,0.418,0.481
FA,15,0.4,0.029,0.315,0.401,0.417,0.451
FA,16,0.396,0.028,0.323,0.4,0.413,0.451
FA,17,0.389,0.027,0.33,0.39,0.403,0.464
FA,18,0.375,0.024,0.331,0.371,0.396,0.425
FA,19,0.366,0.028,0.294,0.367,0.387,0.429
FA,20,0.324,0.017,0.289,0.322,0.334,0.358
FA-FWcorrected,1,0.369,0.019,0.333,0.37,0.384,0.408
FA-FWcorrected,2,0.403,0.021,0.341,0.404,0.417,0.451
FA-FWcorrected,3,0.421,0.03,0.336,0.42,0.438,0.507
FA-FWcorrected,4,0.46,0.029,0.413,0.457,0.472,0.54
FA-FWcorrected,5,0.511,0.032,0.442,0.514,0.532,0.571
FA-FWcorrected,6,0.491,0.038,0.412,0.491,0.518,0.578
FA-FWcorrected,7,0.435,0.035,0.367,0.439,0.46,0.508
FA-FWcorrected,8,0.474,0.054,0.359,0.47,0.507,0.582
FA-FWcorrected,9,0.456,0.047,0.363,0.46,0.484,0.562
FA-FWcorrected,10,0.449,0.033,0.378,0.447,0.467,0.524
FA-FWcorrected,11,0.474,0.034,0.391,0.47,0.499,0.56
FA-FWcorrected,12,0.431,0.041,0.325,0.433,0.462,0.496
FA-FWcorrected,13,0.384,0.029,0.332,0.376,0.398,0.479
FA-FWcorrected,14,0.401,0.032,0.32,0.404,0.419,0.481
FA-FWcorrected,15,0.402,0.029,0.316,0.403,0.42,0.452
FA-FWcorrected,16,0.399,0.028,0.326,0.402,0.415,0.453
FA-FWcorrected,17,0.392,0.026,0.335,0.392,0.403,0.465
FA-FWcorrected,18,0.378,0.023,0.332,0.372,0.397,0.427
FA-FWcorrected,19,0.37,0.025,0.308,0.372,0.388,0.432
FA-FWcorrected,20,0.332,0.015,0.3,0.33,0.342,0.367
FW,1,0.033,0.011,0.012,0.033,0.042,0.057
FW,2,0.023,0.009,0.008,0.021,0.03,0.043
FW,3,0.019,0.009,0.005,0.017,0.025,0.047
FW,4,0.016,0.008,0.004,0.017,0.021,0.033
FW,5,0.014,0.008,0.002,0.013,0.019,0.035
FW,6,0.017,0.011,0.001,0.015,0.023,0.052
FW,7,0.015,0.012,0.0,0.014,0.021,0.064
FW,8,0.009,0.01,0.0,0.006,0.013,0.047
FW,9,0.004,0.007,0.0,0.002,0.005,0.037
FW,10,0.001,0.003,0.0,0.0,0.001,0.017
FW,11,0.001,0.002,0.0,0.0,0.001,0.011
FW,12,0.001,0.001,0.0,0.001,0.001,0.006
FW,13,0.001,0.001,0.0,0.001,0.002,0.008
FW,14,0.003,0.003,0.0,0.002,0.004,0.014
FW,15,0.006,0.005,0.001,0.005,0.007,0.025
FW,16,0.007,0.005,0.001,0.006,0.009,0.022
FW,17,0.007,0.005,0.001,0.006,0.008,0.025
FW,18,0.009,0.007,0.001,0.006,0.01,0.029
