Measures,Section,Mean,STD,Min,Median,Max,Range
AD-FWcorrected,1,0.104,0.002,0.099,0.104,0.106,0.11
AD-FWcorrected,2,0.108,0.003,0.1,0.107,0.11,0.116
AD-FWcorrected,3,0.109,0.004,0.098,0.109,0.111,0.116
AD-FWcorrected,4,0.113,0.004,0.106,0.112,0.114,0.123
AD-FWcorrected,5,0.118,0.004,0.11,0.118,0.121,0.129
AD-FWcorrected,6,0.116,0.005,0.106,0.117,0.119,0.125
AD-FWcorrected,7,0.108,0.004,0.1,0.109,0.111,0.119
AD-FWcorrected,8,0.112,0.007,0.098,0.111,0.115,0.128
AD-FWcorrected,9,0.108,0.005,0.097,0.11,0.113,0.117
AD-FWcorrected,10,0.104,0.005,0.092,0.104,0.108,0.114
AD-FWcorrected,11,0.106,0.005,0.094,0.107,0.109,0.118
AD-FWcorrected,12,0.1,0.006,0.084,0.101,0.103,0.114
AD-FWcorrected,13,0.094,0.004,0.086,0.094,0.096,0.102
AD-FWcorrected,14,0.096,0.003,0.088,0.095,0.098,0.104
AD-FWcorrected,15,0.098,0.003,0.091,0.099,0.1,0.104
AD-FWcorrected,16,0.099,0.003,0.093,0.099,0.102,0.107
AD-FWcorrected,17,0.1,0.003,0.093,0.1,0.102,0.106
AD-FWcorrected,18,0.1,0.003,0.094,0.1,0.102,0.105
AD-FWcorrected,19,0.101,0.002,0.096,0.101,0.103,0.106
AD-FWcorrected,20,0.1,0.002,0.097,0.1,0.101,0.106
FA-FWcorrected,1,0.369,0.019,0.333,0.37,0.384,0.408
FA-FWcorrected,2,0.403,0.021,0.341,0.404,0.417,0.451
FA-FWcorrected,3,0.421,0.03,0.336,0.42,0.438,0.507
FA-FWcorrected,4,0.46,0.029,0.413,0.457,0.472,0.54
FA-FWcorrected,5,0.511,0.032,0.442,0.514,0.532,0.571
FA-FWcorrected,6,0.491,0.038,0.412,0.491,0.518,0.578
FA-FWcorrected,7,0.435,0.035,0.367,0.439,0.46,0.508
FA-FWcorrected,8,0.474,0.054,0.359,0.47,0.507,0.582
FA-FWcorrected,9,0.456,0.047,0.363,0.46,0.484,0.562
FA-FWcorrected,10,0.449,0.033,0.378,0.447,0.467,0.524
FA-FWcorrected,11,0.474,0.034,0.391,0.47,0.499,0.56
FA-FWcorrected,12,0.431,0.041,0.325,0.433,0.462,0.496
FA-FWcorrected,13,0.384,0.029,0.332,0.376,0.398,0.479
FA-FWcorrected,14,0.401,0.032,0.32,0.404,0.419,0.481
FA-FWcorrected,15,0.402,0.029,0.316,0.403,0.42,0.452
FA-FWcorrected,16,0.399,0.028,0.326,0.402,0.415,0.453
FA-FWcorrected,17,0.392,0.026,0.335,0.392,0.403,0.465
FA-FWcorrected,18,0.378,0.023,0.332,0.372,0.397,0.427
FA-FWcorrected,19,0.37,0.025,0.308,0.372,0.388,0.432
FA-FWcorrected,20,0.332,0.015,0.3,0.33,0.342,0.367
MD-FWcorrected,1,0.074,0.001,0.071,0.074,0.075,0.076
MD-FWcorrected,2,0.074,0.001,0.07,0.074,0.075,0.076
MD-FWcorrected,3,0.073,0.001,0.07,0.073,0.074,0.076
MD-FWcorrected,4,0.073,0.001,0.07,0.073,0.074,0.075
MD-FWcorrected,5,0.073,0.002,0.069,0.073,0.074,0.076
MD-FWcorrected,6,0.073,0.002,0.068,0.073,0.074,0.076
MD-FWcorrected,7,0.072,0.002,0.066,0.073,0.074,0.076
MD-FWcorrected,8,0.071,0.002,0.067,0.072,0.073,0.075
MD-FWcorrected,9,0.07,0.002,0.066,0.07,0.071,0.074
MD-FWcorrected,10,0.068,0.002,0.064,0.068,0.07,0.072
MD-FWcorrected,11,0.067,0.002,0.062,0.068,0.069,0.071
MD-FWcorrected,12,0.067,0.002,0.062,0.067,0.068,0.071
MD-FWcorrected,13,0.066,0.002,0.061,0.066,0.068,0.07
MD-FWcorrected,14,0.067,0.002,0.062,0.067,0.069,0.071
MD-FWcorrected,15,0.068,0.002,0.064,0.069,0.07,0.072
MD-FWcorrected,16,0.069,0.002,0.066,0.07,0.071,0.073
MD-FWcorrected,17,0.07,0.002,0.067,0.07,0.072,0.074
MD-FWcorrected,18,0.071,0.002,0.068,0.072,0.073,0.075
MD-FWcorrected,19,0.072,0.002,0.069,0.072,0.074,0.076
MD-FWcorrected,20,0.073,0.001,0.07,0.074,0.074,0.076
RD-FWcorrected,1,0.059,0.002,0.055,0.058,0.06,0.062
RD-FWcorrected,2,0.057,0.001,0.053,0.057,0.058,0.061
RD-FWcorrected,3,0.055,0.002,0.049,0.056,0.057,0.06
RD-FWcorrected,4,0.053,0.002,0.047,0.053,0.054,0.056
RD-FWcorrected,5,0.05,0.003,0.045,0.05,0.052,0.056
RD-FWcorrected,6,0.052,0.003,0.046,0.052,0.053,0.057
RD-FWcorrected,7,0.054,0.003,0.047,0.054,0.056,0.061
RD-FWcorrected,8,0.051,0.004,0.044,0.052,0.054,0.058
RD-FWcorrected,9,0.051,0.003,0.043,0.051,0.053,0.057
RD-FWcorrected,10,0.05,0.002,0.044,0.05,0.051,0.055
RD-FWcorrected,11,0.048,0.002,0.042,0.048,0.05,0.053
RD-FWcorrected,12,0.05,0.002,0.045,0.05,0.051,0.055
RD-FWcorrected,13,0.052,0.002,0.046,0.053,0.054,0.056
RD-FWcorrected,14,0.053,0.003,0.047,0.053,0.054,0.057
RD-FWcorrected,15,0.054,0.002,0.049,0.053,0.055,0.059
RD-FWcorrected,16,0.054,0.002,0.05,0.054,0.056,0.06
RD-FWcorrected,17,0.056,0.002,0.049,0.055,0.057,0.061
RD-FWcorrected,18,0.057,0.002,0.053,0.057,0.058,0.061
RD-FWcorrected,19,0.058,0.002,0.053,0.058,0.059,0.064
RD-FWcorrected,20,0.06,0.001,0.057,0.06,0.061,0.063
