Measures,Section,index,Mean,STD,Min,Median,Max,Range
AD,1,0,10.715,0.259,10.033,10.726,10.894,11.393
AD,2,1,10.933,0.353,10.166,10.933,11.163,11.835
AD,3,2,11.013,0.389,9.894,11.039,11.304,11.699
AD,4,3,11.395,0.392,10.64,11.356,11.619,12.336
AD,5,4,11.937,0.459,11.07,11.87,12.297,13.143
AD,6,5,11.747,0.47,10.708,11.764,12.09,12.68
AD,7,6,10.956,0.409,10.013,10.954,11.192,12.036
AD,8,7,11.245,0.693,9.764,11.153,11.595,12.893
AD,9,8,10.865,0.54,9.717,10.97,11.317,11.929
AD,10,9,10.457,0.465,9.21,10.494,10.823,11.445
AD,11,10,10.636,0.521,9.396,10.697,10.934,11.828
AD,12,11,10.034,0.581,8.356,10.125,10.346,11.441
AD,13,12,9.368,0.367,8.621,9.381,9.628,10.162
AD,14,13,9.604,0.323,8.845,9.567,9.841,10.487
AD,15,14,9.857,0.348,9.095,9.907,10.103,10.546
AD,16,15,9.991,0.354,9.31,9.95,10.241,10.721
AD,17,16,10.049,0.312,9.274,10.063,10.289,10.66
AD,18,17,10.087,0.285,9.406,10.109,10.273,10.678
AD,19,18,10.2,0.262,9.621,10.19,10.392,10.834
AD,20,19,10.269,0.231,9.816,10.277,10.397,10.971
FA,1,80,0.358,0.02,0.32,0.36,0.374,0.401
FA,2,81,0.395,0.022,0.329,0.397,0.409,0.442
FA,3,82,0.414,0.031,0.33,0.415,0.429,0.505
FA,4,83,0.454,0.031,0.406,0.449,0.464,0.538
FA,5,84,0.505,0.033,0.431,0.509,0.527,0.568
FA,6,85,0.484,0.041,0.398,0.481,0.515,0.571
FA,7,86,0.429,0.037,0.344,0.432,0.457,0.501
FA,8,87,0.47,0.055,0.357,0.464,0.504,0.577
FA,9,88,0.454,0.048,0.356,0.458,0.482,0.562
FA,10,89,0.448,0.033,0.378,0.447,0.467,0.524
FA,11,90,0.474,0.034,0.391,0.47,0.499,0.56
FA,12,91,0.43,0.041,0.324,0.431,0.462,0.496
FA,13,92,0.383,0.03,0.332,0.375,0.397,0.479
FA,14,93,0.4,0.033,0.318,0.403,0.418,0.481
FA,15,94,0.4,0.029,0.315,0.401,0.417,0.451
FA,16,95,0.396,0.028,0.323,0.4,0.413,0.451
FA,17,96,0.389,0.027,0.33,0.39,0.403,0.464
FA,18,97,0.375,0.024,0.331,0.371,0.396,0.425
FA,19,98,0.366,0.028,0.294,0.367,0.387,0.429
FA,20,99,0.324,0.017,0.289,0.322,0.334,0.358
MD,1,200,7.672,0.198,7.169,7.647,7.828,8.095
MD,2,201,7.568,0.187,7.133,7.566,7.722,7.942
MD,3,202,7.479,0.199,7.138,7.484,7.63,7.925
MD,4,203,7.413,0.195,7.017,7.383,7.569,7.812
MD,5,204,7.391,0.221,6.889,7.393,7.548,7.819
MD,6,205,7.453,0.249,6.852,7.484,7.64,7.986
MD,7,206,7.348,0.306,6.651,7.382,7.553,8.15
MD,8,207,7.212,0.282,6.728,7.222,7.39,7.903
MD,9,208,7.026,0.241,6.609,7.037,7.18,7.741
MD,10,209,6.821,0.213,6.426,6.835,6.971,7.359
MD,11,210,6.755,0.221,6.238,6.765,6.941,7.191
MD,12,211,6.665,0.21,6.189,6.659,6.832,7.069
MD,13,212,6.614,0.213,6.127,6.613,6.808,7.024
MD,14,213,6.727,0.215,6.249,6.702,6.883,7.168
MD,15,214,6.892,0.23,6.429,6.909,7.058,7.462
MD,16,215,6.999,0.217,6.601,7.017,7.135,7.521
MD,17,216,7.102,0.213,6.709,7.088,7.233,7.577
MD,18,217,7.213,0.214,6.804,7.221,7.337,7.689
MD,19,218,7.328,0.275,6.861,7.292,7.486,8.077
MD,20,219,7.592,0.204,7.167,7.589,7.753,8.052
RD,1,320,6.15,0.236,5.583,6.137,6.327,6.666
RD,2,321,5.886,0.206,5.429,5.845,6.033,6.421
RD,3,322,5.711,0.268,4.98,5.742,5.867,6.335
RD,4,323,5.423,0.274,4.753,5.483,5.637,5.797
RD,5,324,5.119,0.305,4.554,5.058,5.359,5.8
RD,6,325,5.305,0.362,4.597,5.353,5.519,6.138
RD,7,326,5.544,0.383,4.732,5.545,5.805,6.63
RD,8,327,5.196,0.422,4.374,5.314,5.485,6.192
RD,9,328,5.107,0.363,4.316,5.116,5.372,5.853
RD,10,329,5.003,0.249,4.411,5.012,5.155,5.625
RD,11,330,4.815,0.232,4.184,4.832,4.964,5.337
RD,12,331,4.981,0.251,4.455,5.002,5.161,5.542
RD,13,332,5.237,0.24,4.612,5.277,5.425,5.673
RD,14,333,5.288,0.264,4.69,5.3,5.437,5.79
RD,15,334,5.41,0.269,4.95,5.401,5.607,5.996
RD,16,335,5.504,0.253,5.028,5.485,5.663,6.133
RD,17,336,5.628,0.256,4.971,5.603,5.828,6.234
RD,18,337,5.777,0.259,5.282,5.796,5.917,6.299
RD,19,338,5.892,0.338,5.348,5.86,6.062,6.87
RD,20,339,6.253,0.228,5.806,6.267,6.449,6.7
