Measures,Section,index,Mean,STD,Min,Median,Max,Range
AFD_total,1,40,0.232,0.019,0.182,0.23,0.247,0.275
AFD_total,2,41,0.255,0.022,0.208,0.254,0.269,0.296
AFD_total,3,42,0.267,0.021,0.221,0.266,0.283,0.315
AFD_total,4,43,0.284,0.019,0.229,0.284,0.297,0.327
AFD_total,5,44,0.307,0.019,0.238,0.309,0.32,0.346
AFD_total,6,45,0.321,0.02,0.25,0.32,0.332,0.367
AFD_total,7,46,0.33,0.02,0.256,0.329,0.343,0.372
AFD_total,8,47,0.328,0.02,0.244,0.328,0.34,0.36
AFD_total,9,48,0.334,0.021,0.242,0.337,0.348,0.37
AFD_total,10,49,0.349,0.021,0.251,0.352,0.361,0.381
AFD_total,11,50,0.355,0.021,0.259,0.358,0.37,0.389
AFD_total,12,51,0.352,0.02,0.264,0.355,0.367,0.386
AFD_total,13,52,0.341,0.019,0.26,0.343,0.352,0.381
AFD_total,14,53,0.328,0.017,0.256,0.331,0.338,0.364
AFD_total,15,54,0.317,0.017,0.251,0.319,0.326,0.357
AFD_total,16,55,0.307,0.017,0.246,0.309,0.319,0.348
AFD_total,17,56,0.3,0.017,0.238,0.302,0.31,0.342
AFD_total,18,57,0.292,0.016,0.229,0.293,0.301,0.33
AFD_total,19,58,0.281,0.017,0.213,0.283,0.293,0.317
AFD_total,20,59,0.248,0.025,0.161,0.253,0.266,0.291
NuFO,1,280,2.094,0.175,1.633,2.075,2.23,2.473
NuFO,2,281,2.107,0.163,1.735,2.105,2.21,2.538
NuFO,3,282,2.085,0.205,1.598,2.08,2.177,2.663
NuFO,4,283,1.97,0.154,1.617,1.983,2.067,2.315
NuFO,5,284,1.834,0.124,1.62,1.84,1.934,2.072
NuFO,6,285,1.942,0.139,1.662,1.968,2.051,2.174
NuFO,7,286,2.197,0.087,1.916,2.203,2.25,2.372
NuFO,8,287,2.155,0.123,1.764,2.188,2.235,2.377
NuFO,9,288,2.3,0.137,1.979,2.279,2.409,2.607
NuFO,10,289,2.434,0.121,2.165,2.435,2.523,2.691
NuFO,11,290,2.412,0.135,2.13,2.431,2.499,2.689
NuFO,12,291,2.468,0.122,2.217,2.496,2.567,2.687
NuFO,13,292,2.488,0.091,2.275,2.505,2.561,2.674
NuFO,14,293,2.4,0.103,2.156,2.401,2.454,2.652
NuFO,15,294,2.333,0.106,2.092,2.332,2.399,2.576
NuFO,16,295,2.334,0.113,2.116,2.313,2.419,2.591
NuFO,17,296,2.355,0.094,2.136,2.354,2.413,2.589
NuFO,18,297,2.364,0.093,2.074,2.381,2.422,2.597
NuFO,19,298,2.385,0.114,2.083,2.373,2.465,2.666
NuFO,20,299,2.345,0.221,1.521,2.368,2.506,2.664
