Measures,Section,Mean,STD,Min,Median,Max,Range
FW,1,0.033,0.011,0.012,0.033,0.042,0.057
FW,2,0.023,0.009,0.008,0.021,0.03,0.043
FW,3,0.019,0.009,0.005,0.017,0.025,0.047
FW,4,0.016,0.008,0.004,0.017,0.021,0.033
FW,5,0.014,0.008,0.002,0.013,0.019,0.035
FW,6,0.017,0.011,0.001,0.015,0.023,0.052
FW,7,0.015,0.012,0.0,0.014,0.021,0.064
FW,8,0.009,0.01,0.0,0.006,0.013,0.047
FW,9,0.004,0.007,0.0,0.002,0.005,0.037
FW,10,0.001,0.003,0.0,0.0,0.001,0.017
FW,11,0.001,0.002,0.0,0.0,0.001,0.011
FW,12,0.001,0.001,0.0,0.001,0.001,0.006
FW,13,0.001,0.001,0.0,0.001,0.002,0.008
FW,14,0.003,0.003,0.0,0.002,0.004,0.014
FW,15,0.006,0.005,0.001,0.005,0.007,0.025
FW,16,0.007,0.005,0.001,0.006,0.009,0.022
FW,17,0.007,0.005,0.001,0.006,0.008,0.025
FW,18,0.009,0.007,0.001,0.006,0.01,0.029
FW,19,0.013,0.013,0.001,0.007,0.016,0.059
FW,20,0.028,0.01,0.011,0.027,0.036,0.057
