Measures,Section,index,Mean,STD,Min,Median,Max,Range
FW,1,120,0.033,0.011,0.012,0.033,0.042,0.057
FW,2,121,0.023,0.009,0.008,0.021,0.03,0.043
FW,3,122,0.019,0.009,0.005,0.017,0.025,0.047
FW,4,123,0.016,0.008,0.004,0.017,0.021,0.033
FW,5,124,0.014,0.008,0.002,0.013,0.019,0.035
FW,6,125,0.017,0.011,0.001,0.015,0.023,0.052
FW,7,126,0.015,0.012,0.0,0.014,0.021,0.064
FW,8,127,0.009,0.01,0.0,0.006,0.013,0.047
FW,9,128,0.004,0.007,0.0,0.002,0.005,0.037
FW,10,129,0.001,0.003,0.0,0.0,0.001,0.017
FW,11,130,0.001,0.002,0.0,0.0,0.001,0.011
FW,12,131,0.001,0.001,0.0,0.001,0.001,0.006
FW,13,132,0.001,0.001,0.0,0.001,0.002,0.008
FW,14,133,0.003,0.003,0.0,0.002,0.004,0.014
FW,15,134,0.006,0.005,0.001,0.005,0.007,0.025
FW,16,135,0.007,0.005,0.001,0.006,0.009,0.022
FW,17,136,0.007,0.005,0.001,0.006,0.008,0.025
FW,18,137,0.009,0.007,0.001,0.006,0.01,0.029
FW,19,138,0.013,0.013,0.001,0.007,0.016,0.059
FW,20,139,0.028,0.01,0.011,0.027,0.036,0.057
