Measures,Section,index,Mean,STD,Min,Median,Max,Range
ECVF,1,60,0.481,0.027,0.426,0.478,0.499,0.543
ECVF,2,61,0.464,0.025,0.397,0.459,0.479,0.515
ECVF,3,62,0.449,0.022,0.395,0.446,0.463,0.493
ECVF,4,63,0.429,0.024,0.378,0.429,0.446,0.48
ECVF,5,64,0.406,0.03,0.351,0.407,0.43,0.469
ECVF,6,65,0.4,0.033,0.324,0.405,0.427,0.466
ECVF,7,66,0.383,0.042,0.286,0.39,0.416,0.461
ECVF,8,67,0.365,0.04,0.258,0.365,0.392,0.443
ECVF,9,68,0.346,0.034,0.267,0.35,0.374,0.414
ECVF,10,69,0.325,0.028,0.27,0.328,0.347,0.393
ECVF,11,70,0.309,0.03,0.25,0.312,0.332,0.378
ECVF,12,71,0.299,0.031,0.221,0.299,0.32,0.366
ECVF,13,72,0.306,0.034,0.216,0.302,0.333,0.383
ECVF,14,73,0.328,0.037,0.23,0.328,0.357,0.395
ECVF,15,74,0.356,0.036,0.261,0.354,0.382,0.434
ECVF,16,75,0.371,0.034,0.282,0.371,0.396,0.448
ECVF,17,76,0.385,0.034,0.309,0.385,0.409,0.459
ECVF,18,77,0.403,0.033,0.344,0.399,0.426,0.475
ECVF,19,78,0.423,0.036,0.363,0.422,0.441,0.52
ECVF,20,79,0.478,0.026,0.428,0.478,0.501,0.53
ICVF,1,160,0.519,0.027,0.457,0.522,0.537,0.574
ICVF,2,161,0.536,0.025,0.485,0.541,0.554,0.603
ICVF,3,162,0.551,0.022,0.507,0.554,0.567,0.605
ICVF,4,163,0.571,0.024,0.52,0.571,0.59,0.622
ICVF,5,164,0.594,0.03,0.531,0.593,0.622,0.649
ICVF,6,165,0.6,0.033,0.534,0.595,0.629,0.676
ICVF,7,166,0.617,0.042,0.539,0.61,0.654,0.714
ICVF,8,167,0.635,0.04,0.557,0.635,0.665,0.742
ICVF,9,168,0.654,0.034,0.586,0.65,0.679,0.733
ICVF,10,169,0.675,0.028,0.607,0.672,0.699,0.73
ICVF,11,170,0.691,0.03,0.622,0.688,0.717,0.75
ICVF,12,171,0.701,0.031,0.634,0.701,0.719,0.779
ICVF,13,172,0.694,0.034,0.617,0.698,0.717,0.784
ICVF,14,173,0.672,0.037,0.605,0.672,0.696,0.77
ICVF,15,174,0.644,0.036,0.566,0.646,0.666,0.739
ICVF,16,175,0.629,0.034,0.552,0.629,0.656,0.718
ICVF,17,176,0.615,0.034,0.541,0.615,0.638,0.691
ICVF,18,177,0.597,0.033,0.525,0.601,0.624,0.656
ICVF,19,178,0.577,0.036,0.48,0.578,0.604,0.637
ICVF,20,179,0.522,0.026,0.47,0.522,0.545,0.572
ISOVF,1,180,0.045,0.013,0.024,0.043,0.051,0.086
ISOVF,2,181,0.049,0.01,0.029,0.047,0.056,0.072
ISOVF,3,182,0.051,0.012,0.031,0.049,0.058,0.088
ISOVF,4,183,0.058,0.012,0.028,0.056,0.065,0.097
ISOVF,5,184,0.068,0.012,0.036,0.068,0.073,0.105
ISOVF,6,185,0.082,0.013,0.048,0.08,0.09,0.119
ISOVF,7,186,0.09,0.016,0.054,0.088,0.101,0.129
ISOVF,8,187,0.085,0.015,0.048,0.085,0.096,0.134
ISOVF,9,188,0.083,0.014,0.044,0.084,0.092,0.109
ISOVF,10,189,0.08,0.011,0.055,0.081,0.088,0.105
ISOVF,11,190,0.081,0.011,0.06,0.081,0.09,0.106
ISOVF,12,191,0.082,0.012,0.046,0.082,0.09,0.112
ISOVF,13,192,0.077,0.012,0.039,0.078,0.084,0.104
ISOVF,14,193,0.073,0.012,0.036,0.073,0.081,0.098
ISOVF,15,194,0.069,0.011,0.037,0.07,0.076,0.099
ISOVF,16,195,0.069,0.013,0.037,0.069,0.08,0.098
ISOVF,17,196,0.069,0.013,0.038,0.07,0.077,0.102
ISOVF,18,197,0.068,0.013,0.04,0.069,0.077,0.096
ISOVF,19,198,0.064,0.013,0.031,0.063,0.073,0.093
ISOVF,20,199,0.045,0.01,0.02,0.046,0.051,0.067
OD,1,300,0.302,0.015,0.266,0.301,0.314,0.335
OD,2,301,0.265,0.02,0.219,0.263,0.278,0.31
OD,3,302,0.253,0.027,0.2,0.254,0.27,0.331
OD,4,303,0.219,0.022,0.158,0.22,0.234,0.253
OD,5,304,0.174,0.024,0.129,0.172,0.193,0.22
OD,6,305,0.182,0.029,0.128,0.18,0.204,0.249
OD,7,306,0.222,0.029,0.144,0.219,0.243,0.301
OD,8,307,0.181,0.043,0.096,0.18,0.204,0.303
OD,9,308,0.201,0.038,0.128,0.192,0.229,0.287
OD,10,309,0.22,0.035,0.157,0.219,0.241,0.324
OD,11,310,0.205,0.03,0.152,0.199,0.224,0.287
OD,12,311,0.259,0.047,0.186,0.251,0.288,0.417
OD,13,312,0.321,0.03,0.253,0.322,0.337,0.399
OD,14,313,0.304,0.029,0.237,0.305,0.325,0.374
OD,15,314,0.295,0.026,0.241,0.289,0.315,0.361
OD,16,315,0.293,0.023,0.25,0.293,0.307,0.353
OD,17,316,0.294,0.02,0.246,0.297,0.307,0.339
OD,18,317,0.3,0.02,0.26,0.299,0.315,0.349
OD,19,318,0.297,0.017,0.256,0.297,0.307,0.331
OD,20,319,0.318,0.014,0.279,0.319,0.326,0.355
